Unnamed: 0,country,date_parsed,month,name_of_holiday,date_of_holiday,independence_from,aggregate_colonisers,season
177.0,Slovakia,1992-07-17,Jul,National Day,July 17,None,None,Summer
178.0,Slovenia,1991-06-25,Jun,Independence and Unity Day,June 25,Yugoslavia,Other,Summer
179.0,Solomon Islands,1978-07-07,Jul,Independence Day,July 7,United Kingdom,United Kingdom,Summer
180.0,Somalia,1960-07-01,Jul,Independence Day,July 1,Italy,Other,Summer
181.0,South Africa,1931-12-11,Dec,Not a holiday,December 11,United Kingdom,United Kingdom,Winter
182.0,South Sudan,2011-07-09,Jul,Independence Day,July 9,Sudan,Other,Summer
183.0,Spain,1492-10-12,Oct,National Day,October 12,None,None,Autumn
184.0,Sri Lanka,1948-02-04,Feb,Independence Day,February 4,United Kingdom,United Kingdom,Winter
185.0,Sudan,1956-01-01,Jan,Independence Day,January 1,Egypt,Other,Winter
186.0,Suriname,1975-11-25,Nov,Independence Day,November 25,Netherlands,Other,Autumn
187.0,Sweden,1523-06-06,Jun,National Day,June 6,None,None,Summer
188.0,Switzerland,1291-08-01,Aug,Swiss National Day,August 1,None,None,Summer
189.0,Syria,1946-04-17,Apr,Evacuation Day,April 17,France,France,Spring
190.0,Tajikistan,1991-09-09,Sep,Independence Day,September 9,Soviet Union,Soviet Union,Autumn
191.0,Tanzania,1961-12-09,Dec,Independence Day,December 9,United Kingdom,United Kingdom,Winter
192.0,Thailand,1960-12-5,Dec,National Day,December 5,None,None,Winter
193.0,Togo,1960-04-27,Apr,Independence Day,April 27,France,France,Spring
194.0,Tonga,1970-06-04,Jun,National Day,June 4,United Kingdom,United Kingdom,Summer
195.0,Trinidad and Tobago,1962-08-31,Aug,Independence Day,August 31,United Kingdom,United Kingdom,Summer
196.0,Tunisia,1956-03-20,Mar,Independence Day,March 20,France,France,Spring
197.0,Turkey,1923-10-29,Oct,Republic Day,October 29,None,None,Autumn
198.0,Turkmenistan,1991-09-27,Sep,Independence Day,September 27,Soviet Union,Soviet Union,Autumn
199.0,Tuvalu,1978-10-01,Oct,Independence Day,October 1,United Kingdom,United Kingdom,Autumn
200.0,Uganda,1962-10-09,Oct,Independence Day,October 9,United Kingdom,United Kingdom,Autumn
201.0,Ukraine,1991-08-24,Aug,Independence Day,August 24,Soviet Union,Soviet Union,Summer
202.0,Ukraine,1919-01-22,Jan,Day of Unity,January 22,Soviet Union,Soviet Union,Winter
203.0,United Arab Emirates,1971-12-02,Dec,National Day,December 2,United Kingdom,United Kingdom,Winter
204.0,United States,1776-07-04,Jul,Fourth of July,July 4,United Kingdom,United Kingdom,Summer
205.0,Uruguay,1825-08-25,Aug,Independence Day,August 25,Portugal,Portugal,Summer
206.0,Uzbekistan,1991-09-01,Sep,Independence Day,September 1,Soviet Union,Soviet Union,Autumn
207.0,Vanuatu,1980-07-30,Jul,Independence Day,July 30,United Kingdom,United Kingdom,Summer
208.0,Vatican City,1929-03-13,Mar,National Day,March 13,None,None,Spring
209.0,Venezuela,1811-07-05,Jul,Independence Day,July 5,Spain,Spain,Summer
210.0,Vietnam,1945-09-02,Sep,Independence Day,September 2,Japan,Other,Autumn
211.0,Yemen,1967-11-30,Nov,National Day,November 30,United Kingdom,United Kingdom,Autumn
212.0,Zambia,1964-10-24,Oct,Independence Day,October 24,United Kingdom,United Kingdom,Autumn
213.0,Zimbabwe,1980-04-18,Apr,Independence Day,April 18,United Kingdom,United Kingdom,Spring
214.0,Antarctica,1959-12-1,Dec,Antarctica Day,December 1,None,None,Winter
215.0,United Kingdom,1948-06-25,Jun,King's Birthday,June 25,None,None,Summer
216.0,United Kingdom,1948-06-25,Jun,King's Birthday,June 25,None,None,Summer
217.0,Western Sahara,1976-02-27,Feb,Liberation Day,February 27,Spain,Spain,Winter
218.0,Ivory Coast,1960-08-07,Aug,Independence Day,August 7,France,France,Summer
219.0,French Guiana,1960-08-07,Jul,Bastille Day,July 14,None,None,Summer
220.0,Syrian Arab Republic,1946-04-17,Apr,Evacuation Day,April 17,France,France,Spring
221.0,Macedonia,1991-09-08,Sep,Independence Day,September 9,Yugoslavia,Other,Autumn
222.0,Taiwan,1911-10-10,Oct,Double Ten Day,October 10,China,Other,Autumn
,Kosovo,2008-02-17,Feb,Independence Day,February 17,Serbia,Other,Spring
,New Caledonia,2008-07-14,Jul,Bastille Day,July 14,None,None,Summer
,Puerto Rico,2008-07-04,Jul,Fourth of July,July 4,United Kingdom,United Kingdom,Summer
